name,download_url,author,author_url,dataset,source_url,resolution,license,implementation
Wiki-Art,https://drive.google.com/uc?id=1MOSKeGF0FJcivpBI7s63V9YHloUTORiF,Peter Baylies,https://twitter.com/pbaylies,Wiki-Art,https://github.com/NVlabs/stylegan2,1024x1024,https://github.com/NVlabs/stylegan2/blob/master/LICENSE.txt, https://github.com/NVlabs/stylegan2
Microscope Images,https://mega.nz/#!uWY03Aia!yZjenIDb8c1wx6iU0avOdUHPMTTnNYYPeeA9GQHZcRo,Michael Friese,https://twitter.com/MichaelFriese10,Microscope Images,https://github.com/NVlabs/stylegan2,1024x1024,https://github.com/NVlabs/stylegan2/blob/master/LICENSE.txt, https://github.com/NVlabs/stylegan2
